رقم الجولة,الفريق الأول, الفريق الثاني,موعد المباراة,النتيحة
الجولة الاولي,يوفنتوس,إيندهوفن,07:45,3 - 1
الجولة الاولي,يونج بويز,أستون فيلا,07:45,0 - 3
الجولة الاولي,بايرن ميونيخ,دينامو زغرب,10:00,9 - 2
الجولة الاولي,ميلان,ليفربول,10:00,1 - 3
الجولة الاولي,سبورتينج لشبونة,ليل,10:00,2 - 0
الجولة الاولي,ريال مدريد,شتوتجارت,10:00,3 - 1
الجولة الاولي,بولونيا,شاختار دونيتسك,07:45,0 - 0
الجولة الاولي,سبارتا براج,ريد بول سالزبورج,07:45,3 - 0
الجولة الاولي,سلتيك,سلوفان براتيسلافا,10:00,5 - 1
الجولة الاولي,كلوب بروج,بروسيا دورتموند,10:00,0 - 3
الجولة الاولي,مانشستر سيتي,إنتر ميلان,10:00,0 - 0
الجولة الاولي,باريس سان جيرمان,جيرونا,10:00,1 - 0
الجولة الاولي,سرفينا زافيزدا,بنفيكا,07:45,1 - 2
الجولة الاولي,فينورد,باير ليفركوزن,07:45,0 - 4
الجولة الاولي,أتالانتا,أرسنال,10:00,0 - 0
الجولة الاولي,اتلتيكو مدريد,لايبزيج,10:00,2 - 1
الجولة الاولي,بريست,شتورم جراتس,10:00,2 - 1
الجولة الاولي,موناكو,برشلونة,10:00,2 - 1
الجولة الثانية,ريد بول سالزبورج,بريست,07:45,0 - 4
الجولة الثانية,شتوتجارت,سبارتا براج,07:45,1 - 1
الجولة الثانية,بروسيا دورتموند,سلتيك,10:00,7 - 1
الجولة الثانية,إنتر ميلان,سرفينا زافيزدا,10:00,4 - 0
الجولة الثانية,سلوفان براتيسلافا,مانشستر سيتي,10:00,0 - 4
الجولة الثانية,أرسنال,باريس سان جيرمان,10:00,2 - 0
الجولة الثانية,برشلونة,يونج بويز,10:00,5 - 0
الجولة الثانية,باير ليفركوزن,ميلان,10:00,1 - 0
الجولة الثانية,إيندهوفن,سبورتينج لشبونة,10:00,1 - 1
الجولة الثانية,جيرونا,فينورد,07:45,2 - 3
الجولة الثانية,شاختار دونيتسك,أتالانتا,07:45,0 - 3
الجولة الثانية,شتورم جراتس,كلوب بروج,10:00,0 - 1
الجولة الثانية,لايبزيج,يوفنتوس,10:00,2 - 3
الجولة الثانية,أستون فيلا,بايرن ميونيخ,10:00,1 - 0
الجولة الثانية,دينامو زغرب,موناكو,10:00,2 - 2
الجولة الثانية,ليفربول,بولونيا,10:00,2 - 0
الجولة الثانية,ليل,ريال مدريد,10:00,1 - 0
الجولة الثانية,بنفيكا,اتلتيكو مدريد,10:00,4 - 0
الجولة الثالثة,موناكو,سرفينا زافيزدا,07:45,5 - 1
الجولة الثالثة,ميلان,كلوب بروج,07:45,3 - 1
الجولة الثالثة,ريال مدريد,بروسيا دورتموند,10:00,5 - 2
الجولة الثالثة,شتورم جراتس,سبورتينج لشبونة,10:00,0 - 2
الجولة الثالثة,يوفنتوس,شتوتجارت,10:00,0 - 1
الجولة الثالثة,باريس سان جيرمان,إيندهوفن,10:00,1 - 1
الجولة الثالثة,جيرونا,سلوفان براتيسلافا,10:00,2 - 0
الجولة الثالثة,أرسنال,شاختار دونيتسك,10:00,1 - 0
الجولة الثالثة,أستون فيلا,بولونيا,10:00,2 - 0
الجولة الثالثة,بريست,باير ليفركوزن,07:45,1 - 1
الجولة الثالثة,أتالانتا,سلتيك,07:45,0 - 0
الجولة الثالثة,اتلتيكو مدريد,ليل,10:00,1 - 3
